PreSens Measurement Studio 2,,,,,,,,,,,,,,,,,,,,,,,,
Id,Date,Time,Sensor,Calibration,User,delta_t,Time_Unit,Value,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
4702,2008-08-20 0:00,3:30:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0,min,8.271,ppm (mg/L),14.592,°C,1028,hPa,Humid,0,0,,0,30.174,47516,45591.4,7,2500,#N/A
4706,2008-08-20 0:00,3:30:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.05,min,8.278,ppm (mg/L),14.586,°C,1028,hPa,Humid,0,0,,0,30.168,47518,45588.12,7,2500,#N/A
4710,2008-08-20 0:00,3:30:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.099,min,8.281,ppm (mg/L),14.561,°C,1028,hPa,Humid,0,0,,0,30.175,47514,45589.89,7,2500,#N/A
4714,2008-08-20 0:00,3:30:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.15,min,8.287,ppm (mg/L),14.549,°C,1028,hPa,Humid,0,0,,0,30.171,47518,45590.96,7,2500,#N/A
4718,2008-08-20 0:00,3:30:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.2,min,8.287,ppm (mg/L),14.567,°C,1028,hPa,Humid,0,0,,0,30.164,47516,45587.69,7,2500,#N/A
4722,2008-08-20 0:00,3:30:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.25,min,8.288,ppm (mg/L),14.567,°C,1028,hPa,Humid,0,0,,0,30.162,47515,45585.13,7,2500,#N/A
4726,2008-08-20 0:00,3:30:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.3,min,8.284,ppm (mg/L),14.58,°C,1028,hPa,Humid,0,0,,0,30.162,47511,45592.36,7,2500,#N/A
4730,2008-08-20 0:00,3:30:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.35,min,8.271,ppm (mg/L),14.598,°C,1028,hPa,Humid,0,0,,0,30.172,47516,45587.37,7,2500,#N/A
4734,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.399,min,8.275,ppm (mg/L),14.592,°C,1028,hPa,Humid,0,0,,0,30.169,47512,45589.92,7,2500,#N/A
4738,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.45,min,8.277,ppm (mg/L),14.58,°C,1028,hPa,Humid,0,0,,0,30.172,47516,45586.89,7,2500,#N/A
4742,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.499,min,8.286,ppm (mg/L),14.574,°C,1028,hPa,Humid,0,0,,0,30.163,47512,45588.48,7,2500,#N/A
4746,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.55,min,8.28,ppm (mg/L),14.592,°C,1028,hPa,Humid,0,0,,0,30.162,47516,45587.57,7,2500,#N/A
4750,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.6,min,8.288,ppm (mg/L),14.567,°C,1028,hPa,Humid,0,0,,0,30.162,47513,45591.99,7,2500,#N/A
4754,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.65,min,8.291,ppm (mg/L),14.567,°C,1028,hPa,Humid,0,0,,0,30.158,47509,45589.28,7,2500,#N/A
4758,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.7,min,8.271,ppm (mg/L),14.586,°C,1028,hPa,Humid,0,0,,0,30.177,47515,45591.93,7,2500,#N/A
4762,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.749,min,8.275,ppm (mg/L),14.58,°C,1028,hPa,Humid,0,0,,0,30.174,47505,45579.68,7,2500,#N/A
4766,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.8,min,8.278,ppm (mg/L),14.586,°C,1028,hPa,Humid,0,0,,0,30.168,47494,45573.87,7,2500,#N/A
4770,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.85,min,8.287,ppm (mg/L),14.555,°C,1028,hPa,Humid,0,0,,0,30.169,47499,45573.52,7,2500,#N/A
4774,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.899,min,8.293,ppm (mg/L),14.549,°C,1028,hPa,Humid,0,0,,0,30.164,47502,45566.97,7,2500,#N/A
4778,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,0.95,min,8.284,ppm (mg/L),14.574,°C,1028,hPa,Humid,0,0,,0,30.165,47493,45573.72,7,2500,#N/A
4782,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,1,min,8.277,ppm (mg/L),14.58,°C,1028,hPa,Humid,0,0,,0,30.172,47497,45572.48,7,2500,#N/A
4786,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,1.049,min,8.282,ppm (mg/L),14.567,°C,1028,hPa,Humid,0,0,,0,30.17,47497,45576.13,7,2500,#N/A
4790,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,1.1,min,8.275,ppm (mg/L),14.598,°C,1028,hPa,Humid,0,0,,0,30.167,47496,45574.42,7,2500,#N/A
4794,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,1.15,min,8.278,ppm (mg/L),14.586,°C,1028,hPa,Humid,0,0,,0,30.168,47500,45569.99,7,2500,#N/A
4798,2008-08-20 0:00,3:31:00 PM,Sensor4 (PSt3),2008-08-20 13:27,default,1.2,min,8.278,ppm (mg/L),14.592,°C,1028,hPa,Humid,0,0,,0,30.165,47496,45572.52,7,2500,#N/A
